Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
CHILE,Republic,Santiago; note - Valparaiso is the seat of the national legislature,9.73,496.08,25400.0,11.67,21.4,0.63,35.5,97%,100.0,1.6069473084845556,92.18598689977824,20.290761071873963,143.24852204568575,24.938367490710018,104.5976671524525,,25.930678186428853,4.744074179637711,0.17739074342847927,-0.19644788119712686,0.016254420699852664,8.651379649696429
CHINA,Communist,Beijing,8.52,17730.0,12500.0,3.0,16.7,0.18,38.4,96.8%,100.0,1.684189257113502,71.5242625939034,34.21805526374932,123.86999693306305,151.52055785666724,531.8874036204713,16.083358977355704,0.3771734764880238,8162798.28514944,650603.4968979132,0.17417679097436603,0.02819121888598056,1.5547247011443845
COLOMBIA,Republic,Bogota,25.58,754.64,14600.0,10.68,26.4,0.54,31.2,95.6%,99.0,0.4006976261407032,76.94107890283318,15.738407142110376,152.01741089864302,47.49827091556754,197.72696640030807,2.0612303841340136,16.94487406816874,1.6417880377053446,0.10733594826672321,-0.04000448521158828,0.08798763730233293,3.0884759795898717
COMOROS,Republic,Moroni,24.39,2.65,3200.0,2.11,21.7,1.34,20.9,62%,87.0,0.03939764379577162,24.92182381823953,0.1199939665322644,96.06822771387854,397.48456375838924,393.73601789709176,,237.5115097402232,366960.9107834728,123018.86792452831,,0.0,152.12527964205816
"CONGO, DEMOCRATIC REPUBLIC OF THE",Republic,Kinshasa,24.42,102.96,1100.0,6.2,10.1,3.13,16.7,80%,20.0,0.026095135695063203,18.865308048472908,0.02771323078269816,42.01683376731657,49.3416672253962,67.21207490975048,1.7674967623093998,1.7700708693465277,0.017879503730773006,0.019425019425019428,-0.19580004253745276,0.033183246064367226,0.016320783679922086
"CONGO, REPUBLIC OF THE",Republic,Brazzaville,25.28,18.88,3200.0,-2.2,42.3,2.33,19.5,80.6%,49.0,0.11078833562630548,31.605322983225165,0.017613407889714702,97.90691067342576,16.62516251830161,68.29868228404099,1.493411420204978,4.75562013022297,0.7045363155885881,0.21186440677966104,,0.0014619883040935672,0.49487554904831627
COSTA RICA,Republic,Yamoussoukro,25.21,146.32,5300.0,7.04,5.7,2.16,20.3,89.9%,71.0,0.07486834059826586,41.40420292530406,0.8863464171409721,151.85461692814417,92.27852252966167,257.846624088452,2.075452118376242,0.9200933983400901,0.3748528659904071,0.07517769272826681,,0.013831044181813107,1.619481577217825
CROATIA,Republic,Zagreb,13.82,123.35,31600.0,13.07,23.6,0.47,43.9,99.4%,100.0,1.1848685095769276,79.6548242976716,24.72808586890797,105.5879262378578,74.48527887947976,481.61646478722264,46.753850001786546,16.549782826074495,3.8376308002491584,0.12971220105391165,-0.1850686037808783,0.01095522493550553,104.24482795583664
CUBA,Communist,Havana,26.42,137.0,12300.0,1.25,7.4,0.19,42.1,99.7%,100.0,0.6807771436560837,71.09064703775924,2.108634154786822,64.65786283492024,100.03618648697869,546.3485703879076,76.1883081405937,12.106345782358487,1.4564025001333518,0.11678832116788321,-0.1938246298120105,0.00938120151542486,34.01019850664724
CURACAO,Democracy,Willemstad,,3.17,20800.0,4.23,42.2,0.3,36.7,,100.0,,73.24614488809218,35.98322527461743,111.22087812154479,344.2545045045045,1238.7387387387387,,,,,,0.0,819.8198198198198
CZECHIA,Republic,Prague,10.59,428.02,40700.0,3.54,7.6,0.0,43.3,99%,100.0,2.1001767006574297,85.27735502335928,35.91760769091526,122.63784995706243,138.59751187748392,721.6332025839191,123.6035056377594,11.955642325290238,9.246942110966668,0.2312976029157516,0.2419915059065847,0.020540910647038686,0.0
DENMARK,Monarchy,Copenhagen,10.03,352.44,59700.0,3.8,10.1,0.44,42.0,,100.0,2.968731713419777,98.21785294865431,43.55622951062253,122.54741226813458,140.14667483621625,1757.0344535042655,63.20403450063628,13.452196945544163,5.549031240036967,0.09363295880149813,-0.1817421100941098,0.01531535712628208,172.3617853607956
DJIBOUTI,Republic,Djibouti,29.22,5.43,4900.0,4.81,79.9,1.93,24.9,,65.0,0.13317720866717275,77.75500106029547,2.566529699029753,50.12984777845049,42.111432269197586,124.80586712683348,4.184641932700604,13.317720866717274,624908.4406690414,112338.8581952118,,0.0008620689655172414,13.546160483175152
DOMINICA,Republic,Roseau,27.7,787.7,10900.0,6.68,,0.02,34.9,,100.0,0.5625803686240891,78.11830261465924,21.431633090441494,83.04757822546078,99.40878828229027,2013.3155792276964,,10072.867552507501,2437848.2640377195,231.05243112860225,,,197.0705725699068
DOMINICAN REPUBLIC,Republic,Port-au-Prince,25.6,32.86,2900.0,-1.8,35.7,1.18,24.1,61.7%,47.0,0.30103935734330717,37.40106698531097,0.270264120406676,63.64284125705596,237.38122930463575,84.89238410596026,,1.2205476405462787,0.2615459229742026,0.09129640900791236,,0.007191288267926854,26.655629139072847
ECUADOR,Republic,Quito,21.79,189.88,10700.0,4.24,14.2,1.1,28.8,94.5%,100.0,0.5350240566354479,78.24598134245166,13.563191580366343,96.03207078561596,63.15295061063932,158.75538666599238,3.48575536138072,24.709257266037362,2.0591047721697806,0.18959342742784918,-0.20126758052798324,0.023698604533063432,8.080450511304322
EGYPT,Republic,Cairo,23.95,1264.0,11600.0,3.33,24.3,1.59,24.1,73.1%,100.0,0.5461231518387771,72.29792001074975,8.534686387689199,94.43407068691788,110.04743583304034,65.34733035310663,5.108242503390426,0.20082755558541598,2.145203434662398,0.18591772151898733,-0.1699103628169281,0.005991312596734735,2.4611984529609723
EL SALVADOR,Republic,San Salvador,26.01,57.37,9100.0,10.28,13.7,0.46,27.7,89.1%,97.0,0.39167753397643573,60.11477696645296,8.875600731252566,167.68331674837975,318.63182278847546,434.9210945417692,,10.299331906572943,1.0602253433236852,0.1220149904131079,,0.01520840264245996,14.815887264128179
EQUATORIAL GUINEA,Republic,"Malabo; note - Malabo is on the island of Bioko; in 2017, some governmental offices began to move to a new capital of Ciudad de la",25.03,23.92,14600.0,-0.95,18.3,3.36,20.3,95.3%,66.0,0.20084076894967184,49.72103850215371,0.057547498266381614,37.405873873148046,61.947702399201454,102.67013653702186,,4.028324878646713,2.3018999306552645,0.16722408026755853,,0.0,10.552208477416135
ERITREA,Republic,Asmara,27.19,9.7,1600.0,5.0,14.6,1.08,20.3,76.6%,52.0,0.03633584263137798,12.621924282478666,0.07968386541968854,28.686191551087877,62.12669306930693,158.41584158415841,3.0297029702970297,2.071780500911902,127175.44920982292,82268.04123711342,,0.141156462585034,22.11881188118812
ESTONIA,Republic,Tallinn,7.58,51.53,38700.0,8.01,17.1,0.74,43.7,99.9%,100.0,2.5192016375642066,98.35694842371142,34.55463341874785,164.6907700775382,28.375058978956307,1378.0315183542514,33.99547041615552,14.96555428255964,3.325678729457698,0.07762468464971861,-0.20185276505502384,0.0627929601132042,89.5064640936114
ESWATINI,Monarchy,Mbabane,21.44,10.56,8900.0,7.88,50.9,0.72,23.7,88.4%,82.0,0.2530877143613119,62.65248313559749,1.0619064938236864,123.88909094609674,65.68489886073006,219.0769588467798,17.49593117879563,12.388909094609675,0.8849220781864053,0.0946969696969697,,0.009214466712739,0.0
ETHIOPIA,Republic,Addis Ababa,24.17,278.94,2300.0,5.64,5.7,2.42,19.8,51.8%,54.0,0.04169574893636343,17.516336044106545,0.18203251183091115,55.81185504249634,106.20636347884768,109.58807919239082,0.6009648266868508,0.48942703652650643,0.13738302779691408,0.05736000573600057,,0.00699990944489722,0.0
FAROE ISLANDS,Democracy,Torshavn,6.6,2.0,40000.0,5.9,,0.63,37.2,,100.0,2.4334600760456273,98.34220532319392,35.06273764258555,112.16730038022814,37.76022972002872,689.1600861450107,,8764.25855513308,16539923.954372624,435000.0,,0.0,801.8664752333094
FIJI,Republic,Suva,25.33,9.58,10400.0,-5.11,18.1,0.42,29.9,99.1%,92.0,0.4146619397315776,52.75597197602769,2.433316451422301,104.45682451253481,51.863850279085035,188.24559483419065,32.66936631279413,29.543344306575502,1.0551194395205536,0.10438413361169102,,0.0,61.781766444128266
FINLAND,Republic,Helsinki,3.59,275.55,49600.0,2.1,18.1,0.22,42.8,,100.0,3.636609101568045,91.10224093701905,32.878736416370906,124.67559854528511,18.48022974507513,1494.3304313480244,19.47895923506081,26.35998369243171,7.302427914795271,0.14879332244601706,-0.16973695105436826,0.10152449393011874,4.114345901288613
FRANCE,Monarchy,Madrid,12.65,3048.0,45900.0,6.8,18.8,0.12,46.3,98.6%,100.0,2.935267474504217,127.95075316988495,66.74768293740966,156.34458855548718,73.73613698360624,1644.5512134872515,43.50222585868491,9.825801041547615,7.157587827679082,0.11089238845144357,-0.19724907310580098,0.005240749859040293,7.577756715441416
FRENCH POLYNESIA,Democracy,Papeete,24.65,5.65,18600.0,1.02,38.9,0.7,33.3,,100.0,0.9021917953616728,72.34118770896353,21.228042243804065,107.10807727007376,78.77920041808206,676.7703161745493,,179.1116064320968,3.3168816005943853,0.17699115044247787,,0.08159347252219823,659.7857329500914
GABON,Republic,Libreville,25.64,32.34,13800.0,1.46,38.4,2.39,21.0,85.5%,91.0,0.32702530441717753,69.07575307587321,1.860665529864418,131.16922391556074,9.304132853644433,55.49798771282315,2.518754826966589,18.35346096218853,0.8342482255540242,0.061842918985776124,,0.037359853848251745,3.4346656731362577
"GAMBIA, THE",Republic,Banjul,28.84,5.48,2100.0,4.27,15.5,2.23,21.8,58.1%,63.0,0.05549773978365604,34.7569786382313,0.20254649556078846,1093.7510760282578,243.92974308300396,294.1699604743083,,996.5287581590792,245486.3526196756,110583.94160583941,,0.10442477876106195,7.905138339920949
GAZA STRIP,,,,27.78,5600.0,7.05,39.6,1.99,18.0,97.5%,100.0,0.10245955349556254,171.67703414381222,17.961922217472548,193.14655195009124,5828.858333333334,,,,1.4296681883101752,0.1079913606911447,,0.0,111.11111111111111
GEORGIA,Republic,Tbilisi,10.32,57.43,15500.0,10.47,28.3,0.01,38.6,99.6%,100.0,0.9276009391478388,58.504291597706015,19.99049912993098,104.60190544102066,70.82338593974175,291.1764705882353,19.555236728837876,4.456698113398658,2.0257718697266625,0.17412502176562772,-0.19757098647963503,0.0,4.4476327116212335
GERMANY,Republic,Berlin,11.19,4260.0,51200.0,1.8,7.5,0.12,47.8,,100.0,2.5884531432512663,93.95319179069949,44.806361382444855,127.28540227364026,241.54559012481644,2380.460719530103,112.93995502936856,6.399891028497397,8630722.060640475,170629.3427230047,-0.007135723374069601,0.023387914470256736,6.851711637298091
GHANA,Republic,Accra,28.36,178.46,5400.0,5.36,9.6,2.19,21.4,79%,86.0,0.15694563931327538,66.30007805327371,0.23155095441680543,119.52353821180179,148.7525501795344,288.85919844593974,4.16203363907653,0.2954548932855335,0.5318188079139602,0.10086293847360753,-0.1956131445688849,0.04611521257016849,2.3688871504353215
GIBRALTAR,Democracy,Gibraltar,,2.04,61700.0,,,0.19,35.5,,100.0,1.451280839717844,105.14023422997738,70.90688177123764,114.7524384893179,4558.307692307692,4461.538461538462,,,472.51004083836784,6.862745098039215,,0.0,1846.1538461538462
GREECE,Republic,Athens,16.05,314.43,29500.0,8.43,36.9,0.35,45.3,97.9%,100.0,2.0523748534783444,74.30273314983098,40.552393191011845,109.49182169820803,80.35083086484956,895.542951617718,17.94913009866281,7.335013400688443,6.668194000625857,0.2226250675826098,0.003326440839479768,0.009927476374879696,104.67902056687105
GREENLAND,Democracy,Nuuk,-18.56,2.41,41800.0,0.36,,0.04,34.3,100%,100.0,3.2365820309119546,67.36244526368624,27.08517230039635,115.27943645395227,0.026673456178563548,,,259.61887948491614,10471294.805891618,251037.34439834024,,,20.353300838470865
GRENADA,Democracy,Saint George’s,27.23,1.71,13700.0,4.69,,0.29,33.3,98.6%,93.0,0.4811940611903866,81.89048023167307,27.996745378349768,87.48982930734302,332.26453488372096,3276.1627906976746,,1994.768108207421,2764678.6061120396,184795.3216374269,,0.0,351.74418604651163
GUAM,Republic,Hagatna,27.91,5.79,35600.0,1.06,15.3,0.13,29.4,,100.0,2.6870607689127737,80.81852004960727,1.7716884190633675,57.87515502273667,311.26838235294116,1920.955882352941,,29.528140317722787,5.905628063544558,0.17271157167530224,,0.0,230.6985294117647
GUATEMALA,Republic,Guatemala City,24.58,152.73,8900.0,7.98,7.2,1.54,23.2,83.3%,97.0,0.28836309479615563,51.0544495704669,3.4036299713644604,123.04700184969492,167.79554680428149,162.74881251224815,7.465541858360007,16.18392682462513,1.0566825074497508,0.12440254043082564,,0.015887738890062356,3.7327709291800035
GUERNSEY,Democracy,Saint Peter Port,,3.46,52500.0,0.4,15.8,0.22,44.3,,100.0,,81.41243606043582,37.4560184500754,105.6813813902605,867.2051282051282,3333.3333333333335,,,,,,0.0,641.025641025641
GUINEA-BISSAU,Republic,Bissau,28.47,58.99,3500.0,6.06,5.0,2.54,18.0,52.9%,67.0,0.631127274126668,474.3075398543404,7.39905330908881,955.3487555440105,73.92674253200569,592.6386913229019,32.21906116642958,9.62084259339433,4.8104212966971645,0.16952025767079165,-0.2063254276584999,0.2215916955017301,12.446657183499289
GUYANA,Republic,Georgetown,27.11,17.64,21900.0,20.06,29.9,0.28,27.5,88.8%,92.0,0.47995614716465906,85.8868894926232,11.998903679116475,108.62165435831757,4.022062596203181,20.294743686785303,,147.77597162701346,2.5260849850771527,0.11337868480725623,,0.08429122338569747,2.331736508694482
HONDURAS,Republic,"Tegucigalpa; note - article eight of the Honduran constitution states that the twin cities of Tegucigalpa and Comayaguela, jointly,",25.54,57.27,5600.0,12.53,15.5,1.16,24.4,88.5%,94.0,0.4169734850416117,50.14965492858271,4.146916757423612,78.99312448230928,85.54251497005988,131.75440164447224,6.247207078380552,10.761280120091708,0.8358275821430452,0.1396891915488039,,0.001784280488892854,7.355438376977388
HUNGARY,Republic,Budapest,13.53,326.19,33600.0,7.12,13.5,0.31,43.6,99.1%,100.0,1.1244043309577065,89.2760285952164,,105.98390342759764,107.91457235961074,2272.1297205606643,85.78475136148558,4.23991332376216,4.96380096440448,0.14715349949415985,-0.08958118457883137,0.036763125080620886,0.0
ICELAND,Republic,Reykjavik,1.24,19.96,53600.0,4.4,13.4,0.89,37.1,,100.0,8.221751756855616,102.52942871710745,39.29814449444679,121.170387284134,3.599720698254364,128.6583541147132,,266.02230153627875,8.313196923008713,0.1503006012024048,,0.02669902912621359,49.576059850374065
INDIA,Republic,New Delhi,25.43,9279.0,6600.0,8.68,28.3,0.7,28.7,74.4%,99.0,0.30930125384869733,40.02345417296809,1.6438204392469034,83.35670506513287,470.59830458365803,2143.0990184626426,23.047612448973208,0.2472877704258385,1654353.754739782,249459.85558788662,-0.12036872003317232,0.09554148846624076,2.354371209672564
INDONESIA,Republic,Jakarta; note - Indonesian lawmakers on 18 January 2022 approved the relocation of the country’s capital from Jakarta to a site on,26.38,3246.0,11900.0,3.69,16.1,0.76,31.1,96%,99.0,0.2471228817339697,59.89773460112435,4.194350673240876,130.91362229274316,154.27308923921748,274.1308777087707,4.503830657292104,2.4080749932232193,2.014481755103525,0.17344423906346274,0.09386814333446813,0.04882994525270547,30.20365219320931
IRAN,Republic,Tehran,19.18,1319.0,15000.0,4.72,27.2,0.93,31.7,88.7%,100.0,0.9196506124559347,79.36900000985263,10.919168484597705,155.15249402754554,57.1893176721,145.91651187161096,,3.6419319624774147,7.3751976418821625,0.489764973464746,-0.061706069572978604,0.07074405637682435,1.5931104502169307
IRAQ,Republic,Baghdad,23.85,390.17,9000.0,2.78,27.2,1.94,21.2,85.6%,100.0,0.6874648637214621,52.2462633925578,15.155533563874412,91.23494536400318,94.35121762730155,136.32258492295944,5.194722052646862,2.4717619972360367,3.465313388281895,0.3665069072455596,,0.002167381141958902,0.13261174254116107
IRELAND,Republic,Dublin,10.25,515.88,102500.0,13.59,17.4,0.91,37.8,,100.0,2.1468856727969676,89.2187834276955,28.483763402304774,100.93677844308903,77.2903474006649,1449.2690504188263,24.505320616117185,7.513160709700673,6.57401562098809,0.06784523532604482,-0.1875100413208459,0.019780000853812988,21.021151808138438
ISRAEL,Democracy,Jerusalem; note - the US recognized Jerusalem as Israel’s capital in December 2017 without taking a position on the specific,20.95,393.86,42100.0,8.61,8.8,1.43,30.4,97.8%,100.0,2.1002086939329256,88.57300920551117,28.773279303429128,138.22254869773903,420.68135088617015,948.5509605991534,69.63762385449132,4.6442776362440314,6.745260376449664,0.15487736759254556,-0.14051092006008684,0.020057437206546017,12.699446434386193
ITALY,Republic,Rome,14.58,2478.0,41900.0,6.74,30.9,0.11,46.5,99.2%,100.0,1.9901394344698304,72.51500302637473,29.708678964282548,128.01140345536857,207.45854015094852,1658.0539878969198,62.81022642279187,2.1139966983960092,5.440673673391279,0.13397901533494755,-0.1865142508439237,0.023893276697418198,25.8380363092405
JAMAICA,Democracy,Kingston,26.66,27.14,9600.0,4.6,26.1,0.09,29.4,88.7%,100.0,0.4310555685927808,81.39009749087374,13.66910529737517,102.9927876179288,260.4544363401348,2042.3783584156588,,9.925621645228507,3.5448648732958947,0.36845983787767134,-0.20506185493610518,0.014557365116913839,94.35878496907027
JAPAN,Monarchy,Tokyo,13.11,4940.0,39300.0,1.0,4.1,0.41,48.6,,100.0,2.4733421006036265,94.21813768364788,35.346160150129606,165.4552705861315,339.4357463270093,3343.8193615649475,74.93038122282124,1.4144930313909627,9181167.119700495,229936.63967611335,-0.19628804696899005,0.03553709167405369,81.6247582205029
JERSEY,Democracy,Saint Helier,,5.57,56600.0,1.0,15.8,0.61,37.5,,100.0,,93.43581261857275,38.62333998151482,120.72092231356717,886.0775862068965,4965.51724137931,,,4378070.730164907,80789.9461400359,,0.0,603.448275862069
JORDAN,Monarchy,Amman,20.3,102.82,9200.0,2.23,40.5,0.79,23.5,98.4%,99.0,0.5090777106584132,82.35080613591978,5.687392010402359,65.62414875604281,124.8475935226684,81.11303799463975,5.731852886196257,1.6235646335668743,2.0745548095576725,0.2236918887375997,,0.006044189742786148,0.2927861985090426
KAZAKHSTAN,Republic,Astana,7.93,496.13,26100.0,4.3,3.7,0.73,31.6,99.8%,100.0,1.2803257395925307,88.46947501220868,13.408063176517734,124.45593063747552,7.239124347149684,35.62136533688928,6.162166166611105,4.91212816724814,13.457184458190216,0.530102997198315,0.5975284108560006,0.009248045799845866,0.0
KENYA,Republic,Nairobi,25.23,251.43,4700.0,7.52,13.8,2.09,20.0,82.6%,76.0,0.057912076147228764,26.940333244034687,1.1817130910949245,114.081391426671,100.24247812489018,283.6771268932073,6.710124046807464,3.452990012410432,0.29797375741612864,0.0676132521974307,-0.19704857817994736,0.019344656053841794,0.9417717960431529
KIRIBATI,Republic,Tarawa,27.81,249.64,1900.0,1.5,22.5,1.02,25.7,,92.0,0.09534375758416254,60.84665256734736,0.1603508650279097,47.26190063446937,142.2589395807645,826.1405672009864,,164.6846721908262,658738.6887633047,304.4383912834482,,0.0,1409.371146732429
"KOREA, SOUTH",Republic,"Seoul; note - Sejong, located some 120 km",13.64,2289.0,44200.0,4.15,7.8,0.23,43.2,,100.0,2.612987778308628,98.06232992555191,42.96419716624498,140.19582600848526,536.1839455220801,1036.1947998349153,41.054477919933966,2.1359730419419667,13.200698259208911,0.2996941896024465,-0.1672274603363683,0.02807862013638187,24.896822121337184
KOSOVO,Republic,Pristina,,21.23,11900.0,10.75,48.8,,,,100.0,0.7249302178303307,89.40975713310462,,90.5072831560122,180.4286764030495,184.80756865986956,40.13961605584642,3.0544812549030786,4.072641673204105,0.3768252472915685,,0.0,0.0
KUWAIT,Monarchy,Kuwait City,27.27,191.52,43900.0,-8.86,25.5,1.13,29.7,96.5%,100.0,6.241501749592406,138.5496748915768,2.3826677578796103,222.90967205614163,174.18228757436302,322.65125154338307,,2.255459823816367,29.64318625587225,0.4803675856307435,0.29988108480280656,0.0,28.005387810079693
KYRGYZSTAN,Republic,Bishkek,3.54,32.22,4800.0,3.61,19.3,0.82,27.3,99.6%,99.0,0.7555390271185594,82.80550945722214,4.720077363537909,138.8258048099385,31.922570789516218,177.2670632582729,2.2106245535737563,4.573085334915621,1.1432713337289053,0.21725636250775918,-0.14812489221889866,0.04075998619661817,0.0
LAOS,Communist,Vientiane,25.05,58.26,7800.0,2.53,3.3,1.3,24.0,87.1%,100.0,1.1902128489245996,58.42816767457803,1.6300796561346964,61.420548198335354,34.02243067590988,171.5164644714038,1.82842287694974,5.2213488985564505,5.093998925420927,0.6865774116031583,,0.02533783783783784,0.0
LATVIA,Republic,Riga,8.51,60.46,32100.0,4.07,15.5,1.13,44.4,99.9%,100.0,1.6956223411554823,94.90874159462055,26.928447920955126,118.6620008233841,29.265530369965784,1128.4357981654323,35.59896544522803,23.054755043227665,4.391381912995746,0.13231888852133641,-0.21437307658827817,0.0362290792549815,8.000128516120741
LEBANON,Republic,Beirut,16.36,72.58,13000.0,-7.0,29.6,0.64,33.7,95.1%,100.0,0.706782315361092,91.3865031963705,8.104549761095198,80.65721751732208,521.1342130987292,2121.7008797653957,39.19843597262952,1.5005993956711083,4.6893731114722135,0.3444475062000551,,0.016346153846153847,21.994134897360702
LESOTHO,Monarchy,Maseru,13.21,5.24,2300.0,1.35,37.4,0.76,24.7,81%,50.0,0.03347437807772027,49.94015324027456,0.2288923690179251,82.39102959044551,72.82642068851919,195.68440125185307,,10.8565550522336,332934.35493516375,140458.01526717556,,0.0,0.0
LIBERIA,Republic,Monrovia,25.94,7.39,1400.0,4.99,3.2,2.71,18.0,48.3%,29.0,0.03559571979630531,32.10879214278969,0.23609405987345358,30.873838598836237,57.166528239202655,110.04983388704319,4.4539036544850505,5.266713643330887,0.181610815287272,0.13531799729364005,,0.13512736937567904,6.011212624584718
LIBYA,Other,Tripoli,23.26,147.94,22000.0,31.37,50.5,1.54,25.8,91%,70.0,1.4499681699170763,42.680025419944066,4.577685739943604,39.985809174206175,4.121857417279516,21.028223285631473,,20.1307866877038,5.239519822827016,0.2568608895498175,,0.0,1.005944735555884
LIECHTENSTEIN,Monarchy,Vaduz,9.07,618.23,71000.0,4.22,9.1,0.7,43.7,,100.0,573.1252969269622,20883.654639561923,10072.357662590954,27656.589903233064,249.95625,447231.25,33100.0,1575.2756732428174,950.1662790988423,0.0614657975187228,-3.7221849405275207,0.0,0.0
LITHUANIA,,,9.21,110.09,39300.0,5.98,19.0,1.04,44.5,99.8%,100.0,1.3224111410879391,91.7253285788787,30.00329473162999,140.32367443533008,42.37005424377792,1342.7887683471602,30.488194001276323,22.968986220490972,5.271570607981534,0.12716868017076938,-0.15109064137907105,0.04012251148545176,1.4358647096362476
LUXEMBOURG,Monarchy,Luxembourg,11.11,74.05,115700.0,5.1,15.2,1.58,39.5,,100.0,2.8732501770248926,95.86578789694428,35.5797338271874,133.14692763464484,255.57772621809744,1111.755607115236,104.79505027068832,3.026066537151019,16.643365954330605,0.1485482781904119,,0.0,0.0
MACAU,Republic,,23.99,44.49,64800.0,19.27,9.2,0.71,40.8,97.1%,100.0,0.7469088443070077,94.87929921824582,32.50147272298276,437.51982511707564,22694.007092198583,15177.304964539007,,,3.1251416079791117,0.04495392222971454,,0.0,1453.9007092198583
MADAGASCAR,Republic,Antananarivo,23.1,42.32,1500.0,4.4,4.8,2.22,20.3,77.3%,35.0,0.02037331761776567,20.130364937485673,0.11106408241371404,56.50257816178184,49.54464869140558,54.40726347284796,1.4375623344911788,2.8807246376057085,0.13883010301714258,0.0945179584120983,,0.009370725383746621,8.302094438903602
MALAWI,Republic,Lilongwe,23.24,29.66,1500.0,2.75,9.9,2.28,16.8,67.3%,14.0,0.029041903378151383,22.55681815778748,0.057590376359101164,56.11071957800704,226.18619260204082,164.24319727891157,8.15263605442177,1.5037878771858322,0.04699337116205725,0.033715441672285906,,0.20596873839505755,0.0
MALAYSIA,Monarchy,Kuala Lumpur; note - nearby Putrajaya is referred to as a federal government administrative center but not the capital; Parliament,27.06,884.11,26300.0,3.09,15.6,1.01,29.2,95%,100.0,1.0215963044975924,96.37645556433048,9.815319853389724,137.93610310936813,104.12063336548438,439.3729633021661,5.632011489181731,3.331387588681757,7.422565329168124,0.28729456741808146,-0.0841526282559097,0.003607733282400628,14.224556300337435
MALDIVES,Republic,Male,28.37,9.79,18800.0,41.75,17.7,0.17,29.5,97.9%,100.0,1.3989855429604074,114.793822901265,16.34759528503368,181.23742196484312,1307.275167785235,312.0805369127517,,23.102513553474616,5.133891900772137,0.20429009193054137,,0.0,2161.0738255033557
MALI,Republic,Bamako,29.69,46.45,2100.0,3.05,17.3,2.93,16.0,35.5%,53.0,0.041667208964611055,35.019182365763,1.1414287133512317,102.44632865540103,17.505242626148387,114.00437636761488,0.48598988682090494,1.170427218107052,0.23408544362141043,0.1076426264800861,,0.016128147899680048,0.0
MALTA,Republic,Valletta,20.62,23.16,44700.0,10.3,9.8,0.59,42.3,94.9%,100.0,1.6783049120388407,98.70744833432519,45.68649949265527,138.0651970081646,1478.2848101265822,9797.468354430379,,841.2931510602863,19.266255367792816,0.38860103626943004,,0.0,622.7848101265823
MARSHALL ISLANDS,Other,Majuro; note - the capital is an atoll of 64 islands; governmental buildings are housed on three fused islands on the eastern side of the,28.62,250.69,6000.0,1.11,26.0,1.3,23.8,98.3%,99.0,,20.075093249018106,1.2350863325346442,19.761381320554307,447.3259668508287,11204.419889502762,,185.26294988019663,3627448.55865425,1171.5664765247916,,0.0,2046.4088397790056
MAURITANIA,Republic,Nouakchott,29.25,24.49,5300.0,2.45,23.0,1.96,21.0,67%,47.0,0.1545391881698367,63.93587754465499,0.43480637134918837,153.41691798916247,4.118441835645678,11.888037256233627,0.7063160958571844,7.067340922401068,0.942312122986809,0.16333197223356474,,0.0,0.7315416707092267
MEXICO,Republic,Mexico City,22.68,2418.0,19100.0,4.72,8.1,0.61,29.3,95.2%,100.0,0.7193810929540083,76.07283740110887,16.89011869202858,95.41501232306818,66.81028990017721,362.6049090895061,12.0317190043957,13.197251346710587,3.564951793189616,0.1914805624483044,-0.1802573090360283,0.010400254533884823,4.799518504895972
"MICRONESIA, FEDERATED STATES OF",Republic,Palikir,27.96,375.06,3300.0,-3.19,18.9,0.7,26.3,,83.0,,43.86008632462445,5.980920862448788,21.930043162312224,142.9045584045584,,,,1764371.6544223926,471.924492081267,,0.0,8706.552706552708
MOLDOVA,Republic,Chisinau in Romanian,12.92,36.64,14000.0,13.94,8.6,1.14,37.7,99.6%,100.0,0.1827393177486024,58.17509256946248,22.119486902451662,119.98586692885965,98.82739959259372,284.3331002401873,35.60244443768812,2.153493643502048,2.4611355925737697,0.2183406113537118,-0.2005495232472975,0.02835957578801217,0.0
MONACO,Monarchy,Monaco,14.47,7.67,115700.0,21.55,26.6,0.66,55.4,,100.0,,100.70576320536759,66.07272842358451,114.74190587714023,15798.5,,,,,,,0.0,2050.0
MONGOLIA,Republic,Ulaanbaatar,2.36,39.06,11700.0,1.64,21.0,0.83,29.8,99.2%,100.0,0.45431255966884027,85.14904769452502,9.435386862964096,143.98249345409016,2.09549446560021,72.86509144182764,1.16828746437206,13.515721856273814,6.757860928136907,0.5632360471070148,,0.006751417414053689,0.0
MONTENEGRO,Republic,Podgorica; note - Cetinje retains the status of “Old Royal Capital”,11.71,12.76,20600.0,12.43,31.6,0.43,39.6,99%,99.0,1.6715202217629825,85.75056644174987,30.571421457560444,185.92137041555662,44.78479036574487,577.0145703241154,18.584597085935176,1039.099004888413,3.3198051274390195,0.15673981191222572,,0.026064291920069503,21.818316978887896
