Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
UNITED ARAB EMIRATES,Other,Abu Dhabi,28.62,653.07,69700.0,3.92,10.7,0.58,35.7,98.1%,100.0,3.526663644642891,94.25024382237278,32.537620636552106,180.47919029816063,119.29962918660287,48.803827751196174,,4.311447323789393,27.673475845717967,0.4226193210528733,0.1357138535952885,0.0,15.76555023923445
UNITED KINGDOM,Monarchy,London,9.88,3136.0,46200.0,4.1,11.2,0.49,40.6,,100.0,1.6606327783870272,95.39545376442481,39.69856447055676,117.73082594558458,281.6454511635597,1630.3393543586988,67.74686892902906,6.750957359133496,5.841045715076373,0.12691326530612246,-0.171414629940515,0.006896268626082673,51.374364485595
UNITED STATES,Republic,"Washington, DC",10.73,21132.0,63700.0,5.95,8.6,0.68,38.5,,100.0,3.3768554355940665,91.81690537913875,35.29064176675333,146.26170709704726,37.13163867259945,720.0375005752879,32.09193937683935,41.38487956246364,14738045.606437573,236891.9174711338,0.1452880981317344,0.06975368019397332,2.178059299315131
URUGUAY,Republic,Montevideo,18.44,78.12,22800.0,4.37,32.9,0.27,36.2,98.8%,100.0,1.5654527870211437,89.57153194249625,31.136381731622617,137.57718958487985,19.519835442676342,444.1447875896352,9.559180641659287,38.93141747827451,1.7563045478920833,0.07680491551459293,,0.0068098629515081005,3.771105333828529
UZBEKISTAN,Republic,Tashkent,14.59,270.06,7700.0,7.42,16.0,1.61,28.7,100%,99.0,0.5115297309038572,83.47991743587448,15.369516935071502,111.60416769501936,73.72081805359662,203.32863187588154,10.912082745651153,1.6900059679531503,3.252464315683421,0.37769384581204174,-0.10822058148633197,0.04917299955297273,0.0
VANUATU,Republic,Port-Vila,24.82,888.16,2800.0,0.45,5.4,1.59,24.2,89.1%,70.0,0.11180465490694658,67.46612318956319,0.8896456111881321,79.86046779067613,25.682664697678234,87.78406760193617,,99.0269800604384,718744.2101160851,253.33273284092957,,0.0,207.40011485765854
VENEZUELA,Republic,Caracas,26.27,269.07,7704.0,-19.67,14.9,2.4,30.8,97.5%,99.0,1.0798780795497516,74.49363757959989,8.393519158693845,55.70435535970924,34.599240405872685,109.05164106343179,0.5067739924040587,14.548666929241707,3.375028589441207,0.38280001486602,-0.1503097842994545,0.032892933501452774,3.1744232186383994
VIETNAM,Communist,Hanoi,25.54,1036.0,10600.0,2.56,7.2,0.93,32.7,95.8%,100.0,0.6229342990814031,68.49290625134125,15.934523491568742,133.58883916394225,337.98553229915825,630.3995871899893,8.385203341181024,0.4293926973126716,2.375972925130116,0.24034749034749034,-0.13061893708077765,0.06382657528456266,11.10716934885671
VIRGIN ISLANDS,Republic,Charlotte Amalie,27.88,3.87,37000.0,-2.15,27.0,0.49,42.7,,100.0,3.0595613675572118,64.34419588817828,,76.25075059332615,303.228323699422,3641.618497109827,,,19.06268764833154,0.5167958656330749,,0.818848167539267,543.3526011560695
YEMEN,Other,Sanaa,26.0,73.63,2500.0,-5.9,25.5,1.83,21.6,70.1%,74.0,0.05613705704076228,26.071493900227214,1.2386901412493256,47.5200821451148,59.786960573368084,135.0460633977817,,1.8057631215143624,0.31680054763409865,0.13581420616596496,-0.1972907943177528,0.0,3.610067276804655
ZAMBIA,Republic,Lusaka,22.28,63.03,3200.0,4.6,26.1,2.86,18.2,86.7%,46.0,0.15161236660275862,19.73681379265928,0.40718679222314136,98.93139745693874,27.194085805988177,91.02930058999351,4.205015348440539,4.352981488105305,0.2967941923708162,0.09519276534983341,,0.012250570674631752,0.0
ZIMBABWE,Republic,Harare,22.53,33.83,2100.0,8.47,7.3,1.99,21.0,89.7%,48.0,0.16038992717532,36.31959531669196,1.3195752112016896,92.46962481987751,39.85729241793267,251.43532197483762,8.858799473693734,12.711858360842184,0.45399494145864944,0.2069169376293231,,0.010006218698577377,0.0
